JSpub-ABB;PUB-ABB
JTpub-Materials Research Society;PUB-Materials Research Society
JTpub-Mohr Siebeck;PUB-Mohr Siebeck
JTpub-Multiscience;PUB-Multiscience
JTpub-Nature Publishing Group;PUB-Nature Publishing Group
JTpub-Optical Society of America;PUB-Optical Society of America
JTpub-Oxford University Press (OUP);PUB-Oxford University Press OUP
JTpub-Palgrave MacMillan;PUB-Palgrave MacMillan
JTpub-Sabinet Online Ltd;PUB-Sabinet Online Ltd
JTpub-Sagamore Publishing LLC;PUB-Sagamore Publishing LLC
JTpub-Sage Publications;PUB-Sage
JTpub-Sears Foundation for Marine Research;PUB-Sears Foundation for Marine Research
JTpub-Society for General Microbiology;PUB-Society for General Microbiology
JTpub-Society for Industrial and Applied Mathematics;PUB-Society for Industrial and Applied Mathematics SIAM
JTpub-Society of Naval Architects and Marine Engineers (SNAME);PUB-Society of Naval Architects and Marine Engineers SNAME
JTpub-SPIE - International Society for Optical Engineering;PUB-International Society for Optical Engineering SPIE
JTpub-SpringerOpen;PUB-Springer
JTpub-Springer-Verlag;PUB-Springer
JTpub-Taylor & Francis;PUB-Taylor & Francis
JTpub-The Economist Group;PUB-The Economist Group
JTpub-University of Chicago Press The;PUB-University of Chicago Press
JTpub-Walter de Gruyter;PUB-De Gruyter
JTpub-Wolters Kluwer - Lippincott Williams & Wilkins;PUb-Kluwer
JTpub-World Scientific;PUB-World Scientific

_ACM;PUB-Association for Computing Machinery ACM
_ACME;PUB-ASME International
_AIP;PUB-American Institute of Physics AIP
_Blackwell;PUB-Wiley
_Elsevier;PUB-Elsevier
_Emerald;PUB-Emerald
_IEEE;PUB-Institute of Electrical and Electronics Engineers IEEE
_IOP;PUB-Institute of Physics IOP
_OSA;PUB-Optical Society of America
_SIAM;PUB-Society for Industrial and Applied Mathematics SIAM
_SPIE;PUB-International Society for Optical Engineering SPIE
_Springer;PUB-Springer
_ThomasTelford;PUB-Thomas Telford
_Wiley;PUB-Wiley

AG;SHELF_Agrarwissenschaften AG
AN;SHELF_Allgemeine Nachschlagewerke AN
AR;SHELF_Architektur AR
BA;SHELF_Bauingenieurwesen BA
BK;SHELF_Baugeschichte, Kunstgeschichte BK
BL;SHELF_Biologie BL
BT;SHELF_Biotechnologie BT
BU;SHELF_Buch- und Bibliothekswesen BU
BW;SHELF_Betriebswirtschaft BW
CH;SHELF_Chemie CH
EB;SHELF_Enzyklopädien, Biografien  EB
EK;SHELF_Elektronik EK
EN;SHELF_Energietechnik EN
ET;SHELF_Elektrotechnik ET
FA;SHELF_Fahrzeugtechnik FA
FT;SHELF_Fertigungstechnik FT
GG;SHELF_Geografie GG
GK;SHELF_Geisteswissenschaften, Kulturwissenschaften GK
GT;SHELF_Gesundheitstechnik / Medizin GT
GW;SHELF_Geowissenschaften GW
KT;SHELF_Konstruktionstechnik KT
KU;SHELF_Kunststofftechnik KU
KW;SHELF_Kunst, Werken KW
MA;SHELF_Mathematik MA 
MS;SHELF_Maschinenbau MS
MT;SHELF_Messtechnik MT
NA;SHELF_Naturwissenschaften NA
NT;SHELF_Nachrichtentechnik NT
OT;SHELF_Offshoretechnik OT
PH;SHELF_Physik PH
RE;SHELF_Recht RE
RP;SHELF_Regionalplanung RP
RT;SHELF_Regelungstechnik RT
SB;SHELF_Städtebau, Stadtplanung SB
SK;SHELF_Schiffskonstruktion SK
SO;SHELF_Soziologie SO
TE;SHELF_Technik im Allgemeinen TE
TI;SHELF_Technische Informatik TI
US;SHELF_Umweltschutz US
VT;SHELF_Verfahrenstechnik VT
VW;SHELF_Volkswirtschaft VW
WH;SHELF_Wissenschaft, Bildung, Hochschulwesen WH
WK;SHELF_Werkstoffkunde WK
